,State,County,PCT_OBESE_ADULTS13,FMRKT16,FFR14,GROC09,GROC14,GROCPTH14,PCT_LACCESS_CHILD15,FFRPTH14,FMRKTPTH16,FFRPTH14,PCT_OBESE_ADULTS08,PCT_DIABETES_ADULTS13,PCT_DIABETES_ADULTS08,CHILDPOVRATE15,PCT_HSPA15
0,AL,Autauga,34.1,1,36,6,4,0.072208683,8.460485385752763,0.649878148,0.01804532986863,0.649878148,31.5,13.0,11.4,18.8,25.400000000000006
1,AL,Baldwin,27.4,4,132,24,29,0.14491957,3.8449360411209934,0.659633903,0.0191788572277921,0.659633903,26.2,10.4,9.8,19.6,25.400000000000006
2,AL,Barbour,44.4,4,22,5,5,0.185963477,3.758341320879411,0.818239298,0.154053533602927,0.818239298,37.6,18.4,13.6,45.2,25.400000000000006
3,AL,Bibb,40.3,1,5,6,5,0.222162979,1.015241851061283,0.222162979,0.0441637592191847,0.222162979,32.3,14.8,11.1,29.3,25.400000000000006
4,AL,Blount,34.6,1,21,6,6,0.103951905,1.5887200603768292,0.363831667,0.0173298211562457,0.363831667,31.9,14.1,11.4,22.2,25.400000000000006
5,AL,Bullock,43.0,1,3,2,2,0.185804534,5.650681600684799,0.2787068,0.0965064659332175,0.2787068,37.8,19.6,14.9,51.2,25.400000000000006
6,AL,Butler,36.3,2,17,3,3,0.147812377,1.260992579269561,0.837603469,0.1000100010001,0.837603469,36.8,17.7,15.1,36.0,25.400000000000006
7,AL,Calhoun,32.2,2,103,25,27,0.232927292,5.201704016985663,0.888574485,0.0174503319925662,0.888574485,33.5,14.9,14.5,30.7,25.400000000000006
8,AL,Chambers,39.7,1,26,7,7,0.205423172,4.66273228088964,0.763000352,0.0295482079011908,0.763000352,35.5,16.4,16.1,34.4,25.400000000000006
9,AL,Cherokee,33.6,1,15,4,5,0.192034413,0.07213667679747816,0.576103238,0.0388726919339164,0.576103238,31.5,13.3,13.6,30.2,25.400000000000006
10,AL,Chilton,35.9,0,20,7,6,0.136577815,0.7722886215085627,0.455259384,0.0,0.455259384,34.8,13.3,10.2,28.1,25.400000000000006
11,AL,Choctaw,40.8,1,6,4,3,0.22517451,4.023045451848019,0.45034902,0.0769645193565766,0.45034902,36.5,18.1,14.7,33.5,25.400000000000006
12,AL,Clarke,38.2,2,26,6,5,0.20044097,5.896632407570549,1.042293045,0.0819940964250574,1.042293045,36.0,16.3,14.1,30.9,25.400000000000006
13,AL,Clay,37.3,2,4,3,3,0.22136954,1.028049402183477,0.295159386,0.148235991698784,0.295159386,32.2,14.6,13.2,27.3,25.400000000000006
14,AL,Cleburne,30.0,1,8,3,2,0.132625995,1.2591615719612876,0.530503979,0.0670061645671402,0.530503979,28.8,12.6,11.0,27.7,25.400000000000006
15,AL,Coffee,33.7,1,34,7,5,0.098214461,5.144449659195704,0.667858335,0.0195213368211455,0.667858335,32.7,15.9,12.1,23.7,25.400000000000006
16,AL,Colbert,37.5,3,52,9,10,0.183341584,4.790221905716984,0.953376235,0.0553342186808322,0.953376235,34.7,18.7,13.5,26.9,25.400000000000006
17,AL,Conecuh,36.4,1,7,3,2,0.157853197,5.253773645420049,0.552486188,0.0806776926179911,0.552486188,32.1,17.4,14.5,41.0,25.400000000000006
18,AL,Coosa,39.7,0,1,0,1,0.091861106,4.336999536112982,0.091861106,0.0,0.091861106,33.2,17.3,13.2,32.2,25.400000000000006
19,AL,Covington,34.0,2,24,10,6,0.158252888,2.0759194699757684,0.633011552,0.0533931336430135,0.633011552,33.8,14.7,13.1,34.1,25.400000000000006
